7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
In a phrase credited to Thomas Carlylethe field of economics is known by what gloomy nickname?,THE DISMAL SCIENCE
In a pinchwhich of these pantry staples can be used to put out a kitchen fire?,BAKING SODA
In a popular version of the children’s tune “The Wheels on the Bus” the “driver on the bus says” what?,MOVE ON BACK
In a popular ’80s cartoonwhat creatures often sing a catchy tune with the simple lyrics “La la la la la lala la la la la”?,THE SMURFS
In a popular ’80s TV theme”you take the goodyou take the badyou take them bothand there you have” what?,THE FACTS OF LIFE
In a public statementJustin Timberlake famously blamed the 2004 Super Bowl halftime debacle on what?,WARDROBE MALFUNCTION
In a recent fast food survey by ZagatFive Guys defeated In-N-Out in what category?,BEST BURGER
In a running jokeBugs Bunny frequently finds himself in strange locations after taking a wrong turn in what city?,ALBUQUERQUE
In a song title on Michael Jackson’s 1982 “Thriller” album what do the initials “P.Y.T.” stand for?,PRETTY YOUNG THING
In a standard Sudoku game how many individual digits are there once the entire grid has been filled?,81
In a T-bone steak the meat is attached to what “T”-shaped bone?,VERTEBRA
In a tradition inspired by the Bible a sabbatical leave is usually taken once every how many years?,SEVEN
In a typical symphony orchestrawhat instrument is played by more musicians than any other?,VIOLIN
In a V8 car enginewhich of these components is arranged in a V-shaped pattern?,CYLINDER
In a Web Site addresswhat punctuation marks immediately precede the “www”?,FORWARD SLASHES
In a well-known expression.what two-word phrase typically follows the line “stick a fork in it”?,IT’S DONE
In a well-known PSA “Take a bite out of crime” is the motto of what trench coat-wearing “Crime Dog”?,MCGRUFF
In a well-known scence from “Pretty Woman” Julia Roberts’ character struggles with eating what delicacy?,ESCARGOT
In a Youtube hit the indie band OK Go performs an elaborate dance routine using what unlikely props?,TREADMILLS
In addition to a golden globethe Golden Globe Awards statuette features a what?,FILM STRIP
In addition to being a popular playground attractiona seesaw is an example of what type of simple machine?,FIRST-CLASS LEVER
In addition to Englishwhich of the following is an official language of Canada?,FRENCH
In addition to golfwhat other pro sport also hosts a well-known tournament called the “U.S. Open”?,TENNIS
In addition to the weight of the human hand the boy in “Jerry Maguire” also informs us that what animals “can smell fear”?,BEES AND DOGS
In advertisementswhat cosmetics brand promotes itself as “Easybreezybeautiful”?,COVERGIRL
In Albert Einstein’s groundbreaking formula E=mc2 the “m” stands for what?,MASS
In Dante’s “The Divine Comedy” a sign at Hell’s entrance instructs “ye who enter here” to do what?,ABANDON ALL HOPE
In Disney’s “Alice In Wonderland” which extinct animal makes an appearance as a pipe-smoking nitwit?,DODO
In Disney’s “Cinderella” what phrase enables the Fairy Godmother to turn a pumpkin into a carriage?,BIBBIDI-BOBBIDI-BOO
In criminal law a plea of “nolo contendre” is more commonly known as a plea of “no” what?,CONTEST
On an old-fashioned rotary phonewhat number requires the longest turn of the dial?,0 *CORRECT*
On an ’80s TV series a plucky orphan named Penelope Brewster was better known as what?,PUNKY
On average what denomination of U.S. paper currency remains in circulation the longest?,100 DOLLAR BILL
On average what is the most abundant gas released into the atmosphere by a volcano?,WATER VAPOR
On averagea healthy person’s resting heart rate falls into which of these ranges of “beats per minute”?,60-100 *CORRECT*
On December 21 1864 General Sherman’s famous “March to the Sea” concluded with the capture of what Southern city?,SAVANNAH
On dress shirtsbutton-downspread and tab are popular types of what?,COLLAR
On food packaging a circle with a “U” indicates that the food is certified as what?,KOSHER
On HBO’s “Entourage” movie star Vincent Chase stars in all but which of these fictional movies?,VALENTINO
On his past troubleswho admitted to Leno on a 2011 “Tonight Show” appearance “I realized I was pretty much LOSING”?,CHARLIE SHEEN
On his show “Man v Food” host Adam Richman won the “Davy Jones Locker Challenge” by eating 7 pounds of what?,SEAFOOD
On his talk show “Maury” host Maury Povich famously says to some of his guests “you are NOT” what?,THE FATHER
On Home Depot’s web site “islands” are items marked for what room of the house?,KITCHEN
On March 4 2010 baby Cecelia Marie Halpert was “born” on an emotional episode of what hit TV series?,THE OFFICE
On television Dr. Gregory House’s apartment number is “221B” a nod to what famous literary sleuth’s address?,SHERLOCK HOMES
On the 2010 Forbes 400 list what billionaire identifies himself as residing in Medina Washington?,BILL GATES
On the 2010 Fortune Global 500 list of the world’s largest companies3 of the top 4 are in what sector?,OIL
On the cartoon series Scooby-Doo Where Are You which character usually wears an ascot?,FRED
On the children’s TV “Dora the Explorer” Dora’s best friend Boots is what kind of animal?,MONKEY
On the classic sitcom “Happy Days” what was the name of Richie’s practical joke-loving buddyplayed by actor Don Most?,RALPH MALPH
On the classic sitcom “I Love Lucy” Lucy often went on auditions using what maiden name instead of Mrs. Ricardo?,MCGILLICUDDY
On the classic TV series “The Brady Bunch”what is the name of the Brady family dog?,TIGER
On the classic TV series “Welcome Back Kotter” what subject did Mr. Kotter teach?,SOCIAL STUDIES
On the E! reality TV series “The Girls Next Door” who are the girls next door?,PLAYBOY MODELS
On the Fahrenheit scale 98.6 degrees is generally considered to be what?,BODY TEMPERATURE
On the FDA Nutrition Facts food labelthe abbreviation “DV” stands for “daily” what?,VALUE
On the front of a U.S. Social Security Cardwhat images appear on the left and right hand edges?,CLASSICAL COLUMNS
On the Great Seal of the United Statesthe eagle holds in its beak a scroll bearing what Latin phrase?,E PLURIBUS UNUM
On the human body the area of skin known as “The T-zone” is located where?,FACE
On the human body the intercostal muscles are located where?,RIBS
On the Internet the abbreviation “LOL” typically denotes which of these emotional states?,AMUSEMENT
On the New York Stock Exchangewhat company uses the apt stock symbol “ZZ”?,SEALY
On the pronunciation of her last name what actress has explained that it’s “like the lettuce?”,REBECCA ROMIJN
On the Simpsons what member of the Simpson family is commonly seen sucking on a pacifier?,MAGGIE
On the TV series “Community” the main characters become friends after they all take part in a what?,SPANISH STUDY GROUP
On the TV series “Diff’rent Strokes” Arnold often poses what signature question to his brotherWillis?,WHAT’ CHU TALKIN’ ‘BOUT?
On the TV series “Sesame Street” what is the full name of the muppet known as The Count?,COUNT VON COUNT
On the TV series “The Fugitive” Dr.Richard Kimble pursues a man with what physical trait?,ONE ARM
On the TV series “The Simpsons” Marge has the same maiden name as what First Lady?,JACQUELINE KENNEDY
On the TV show “Throwdown” chefs are challenged to a cook-off of their signature dish by what star chef?,BOBBY FLAY
On the TV sitcom “How I Met Your Mother” what actor provides the voice of the unseen narrator?,BOB SAGET
On the ’90s sitcom “Blossom” Joey Lawrence’s character is known for what concise catchphrase?,WHOA!
On the “Arsenio hall Show” a special section of the studio audience was called a what?,DOG POUND
On TLC’s “19 Kids & Counting” all 19 children in the Duggar family have first names that begin with what?,J
On TV’s “Family Guy” creator Seth MacFarlane voices all but which of these members of the Griffin family?,CHRIS
On TV’s “Glee” the glee club’s main competition is a 26-member show choir at Carmel High named what?,VOCAL ADRENALINE
On TV’s “The Muppet Show” what muppet is often seen chained to his drum set?,ANIMAL
On Twittera proper “Twaiku” poem consists of 140 characters or fewer and how many syllables?,17
On what classic TV game show do contestants frequently chant “No Whammies”?,PRESS YOUR LUCK
On what TV series do the judges regularly accuse the contestants of being “pitchy?”,AMERICAN IDOL
On which date do all the places in the Earth experience 12 hours of daylight and 12 hours of darkness?,MARCH 21ST
On “Gilligan’s Island” Captain Jonas Grumby of the S.S. Minnow was known by what nautical nickname?,THE SKIPPER
On “Saturday Night Live” David Spade popularized the catchphrase “buh-bye” in his role as a what?,FLIGHT ATTENDANT
On “The Lord of the Rings: The Return of the King” soundtrack Renee Fleming sings in what language?,SINDARIN
On “The Lord Of The Rings:The Return of The King” soundtrackRenee Fleming sings in what language?,SINDARIN
Once believed to ward off evil spiritsa Greek wedding tradition involves the ceremonious smashing of what?,PLATES
Once dubbed “The Notorious B.A.G.” by the media Brian Austin Green starred in what ’90s teen drama?,BEVERLY HILLS90210
Once dubbed “The Notorious B.A.G.” by the mediaBrian Austin Green starred in what ’90s teen drama?,BEVERLY HILLS90210
Once featured on a TV infomercial the Flowbee is a haircutting device that works with what household appliance?,VACUUM CLEANER
Once ranked #1 for a record 237 weekstennis great Roger Federer hails from what country?,SWITZERLAND
One of at least 50 children born to a construction mogulOsama Bin Laden wasuntil 1994a citizen of what country?,SAUDI ARABIA
One of Hollywood’s funniest movie quotes”Wellnobody’s perfect!” is the last line of what classic film?,SOME LIKE IT HOT
One of the coaches on the talent show “The Voice” Adam Levine is best known as the frontman for what rock band?,MAROON 5
One of the great ’90s fashion fads “Zubaz” were brightly-colored what?,PANTS
One of the most translated books in the world Anne Frank’s original diary was published in what language?,DUTCH
One of the sport’s most famous playersPrince William captained what team at the University of St.Andrews?,WATER POLO
One of the world’s steepest streets in a major cityFilbert Street is located where?,SAN FRANCISCO
One of “The Real Housewives Of Beverly Hills” Camille Grammer is the ex-wife of the star of what TV sitcom?,FRASIER
One week comprises approximately what percentage of a year?,2%
ontaining a purposely misspelled word the title of Quentin Tarantino’s 2009 WWII epic is written how?,INGLORIOUS BASTARDS
